name,country,protection,area_km2,fishing_hours_100km2,lon,lat
Great Barrier Reef Marine Park & Great Barrier Reef Coast Marine Park,Australia,fully-protected,114786.35,0.761,148.0282,-17.7378
Bunurong Marine National Park,Australia,fully-protected,20.39,0.0605,145.6531,-38.6961
Cape Howe Marine National Park,Australia,fully-protected,40.61,0.0,149.985,-37.5416
Discovery Bay Marine National Park,Australia,fully-protected,27.84,0.0,141.3505,-38.3563
Encounter Marine Park,Australia,fully-protected,278.15,0.7044,138.2024,-35.6952
Far West Coast Marine Park,Australia,fully-protected,716.91,0.0,130.4053,-31.7007
Franklin Harbor Marine Park,Australia,fully-protected,61.37,0.1067,136.8977,-33.766
Great Australian Bight Australian Marine Park,Australia,fully-protected,7750.63,0.0,130.4528,-31.7546
Hamelin Pool Marine Nature Reserve,Australia,fully-protected,1149.99,0.0,114.1175,-26.2141
Heard Island and McDonald Islands Commonwealth Marine Reserve,Australia,fully-protected,70481.34,0.0283,74.5717,-51.6494
Investigator Marine Park,Australia,fully-protected,215.27,0.0,134.5934,-33.8761
Barrow Island Marine Park,Australia,fully-protected,40.2,0.0,115.3305,-20.7588
Laughing Bird Caye National Park,Belize,fully-protected,41.14,0.0,-88.2004,16.4635
Caye Caulker,Belize,fully-protected,14.13,0.0,-87.9957,17.7476
Half Moon Caye Natural Monument,Belize,fully-protected,39.61,0.0,-87.5224,17.1914
Parque Estadual Marinho Da Laje De Santos; Laje de Santos,Brazil,fully-protected,51.4,0.125,-46.1764,-24.3052
Estação Ecológica dos Tupiniquins; todas as modalidades de pesca - ESEC TUPINIQUINS; Tupiniquins & Refúgio De Vida Silvestre Das Ilhas Do Abrigo E Guararitama; Ilhas do Abrigo e Guararitama; todas as modalidades de pesca - RVS ILHAS DO ABRIGO E GUARARITAMA,Brazil,fully-protected,21.52,486.101,-47.3768,-24.8174
Estação Ecológica de Tamoios,Brazil,fully-protected,40.88,2.1694,-44.4891,-23.0945
"Monumento Natural Das Ilhas De Trindade, Martim Vaz E Do Monte Columbia",Brazil,fully-protected,68015.8,0.3924,-29.9639,-20.3321
Monumento Natural Do Arquipélago De São Pedro e São Paulo,Brazil,fully-protected,47513.91,0.0357,-29.6561,-0.2836
Exuma Cays Land and Sea Park National Park,Bahamas,fully-protected,579.91,0.0339,-76.6807,24.4147
Exuma (Jewfish Cay) Marine Reserve,Bahamas,fully-protected,121.94,0.0,-75.8778,23.4667
South Abaco Blue Holes National Park,Bahamas,fully-protected,73.06,0.0,-87.5317,17.3172
Eastport - Duck Island Marine Protected Area,Canada,fully-protected,2.64,2.9059,-53.69,48.7417
Francisco Coloane- Isla Carlos III,Chile,fully-protected,14.37,0.0,-72.2167,-53.6474
Malpelo,Colombia,fully-protected,26829.51,0.014,-81.2321,4.2408
Piedras Blancas National Park,Costa Rica,fully-protected,20.07,0.0,-121.3044,35.6833
Western Sambo Ecological Reserve,United States of America,fully-protected,30.02,13.6806,-81.7042,24.5184
Guadeloupe National Park & Grand Cul de Sac Marin,Guadeloupe,fully-protected,1328.88,1.3815,-61.6558,16.1915
Bluefields Bay Special Fishery Conservation Area,Jamaica,highly-protected,13.51,0.0,-78.0587,18.1741
Galleon Harbour Fishery Conservation Area,Jamaica,highly-protected,9.11,0.0,-77.0442,17.8744
Mombasa,Kenya,fully-protected,10.11,5.5657,39.7621,-3.99
Mombasa,Kenya,highly-protected,199.59,13.1787,39.7621,-3.99
Environmental Zone,Cayman Islands,fully-protected,9.46,0.0,-81.2797,19.3357
Cabo Pulmo,Mexico,fully-protected,21.93,0.0,-109.408,23.438
Pulau Seri Buat and Pulau Sembilang Marine Parks,Malaysia,fully-protected,92.54,408.4463,103.8896,2.6916
Pulau Pemanggil Marine Park,Malaysia,fully-protected,95.87,0.0,104.3277,2.5804
Pulau Aur Marine Park,Malaysia,fully-protected,100.19,0.0,104.5191,2.45
Pulau Segantang Marine Park,Malaysia,fully-protected,43.16,74.2534,99.9291,6.041
Pulau Kuraman Marine Park,Malaysia,fully-protected,21.42,0.0,115.1322,5.228
Pulau Lang Tengah Marine Park,Malaysia,fully-protected,61.37,14.7375,102.8972,5.7963
Pulau Redang Marine Park,Malaysia,fully-protected,159.11,23.892,103.016,5.7841
Pulau Kapas Marine Park,Malaysia,fully-protected,23.97,27.3108,103.266,5.2219
Pulau Tioman Marine Park,Malaysia,fully-protected,445.58,20.9628,104.172,2.807
Yves Merlet,New Caledonia,fully-protected,125.52,0.0,167.13,-22.413
Pohatu Marine Reserve,New Zealand,fully-protected,2.04,37.4485,173.0219,-43.8777
Poor Knights Islands Marine Reserve,New Zealand,fully-protected,18.31,6.6886,174.7207,-35.5056
Te Paepae o Aotea (Volkner Rocks) Marine Reserve;,New Zealand,fully-protected,12.71,0.0,177.1333,-37.4783
Whanganui A Hei (Cathedral Cove) Marine Reserve,New Zealand,fully-protected,8.33,0.0,175.7875,-36.8178
Tuhua (Mayor Island) Marine Reserve,New Zealand,fully-protected,10.35,0.131,176.2622,-37.2628
Te Matuku Marine Reserve,New Zealand,fully-protected,5.71,0.0,175.1308,-36.8422
Whangarei Harbour Marine Reserve,New Zealand,fully-protected,1.67,0.0,174.4339,-35.7949
Cape Rodney - Okakari Point Marine Reserve,New Zealand,fully-protected,4.92,2.8369,174.7962,-36.2655
Long Bay-Okura Marine Reserve,New Zealand,fully-protected,8.5,0.0,174.7308,-36.6726
Kapiti Marine Reserve,New Zealand,fully-protected,21.32,1.6255,174.9188,-40.8438
Motu Manawa-Pollen Island Marine Reserve,New Zealand,fully-protected,2.86,0.0,174.6793,-36.8694
Taputeranga Marine Reserve,New Zealand,fully-protected,8.02,23.0022,174.7652,-41.3545
Ulva Island - Te Wharawhara Marine Reserve,New Zealand,fully-protected,10.47,29.5588,168.1209,-46.9373
Parininihi Marine Reserve,New Zealand,fully-protected,18.4,0.0,174.5135,-38.8619
Tapuae Marine Reserve,New Zealand,fully-protected,13.87,0.6005,173.9897,-39.0721
Taumoana (Five Fingers Peninsula) Marine Reserve,New Zealand,fully-protected,12.58,10.7841,166.5242,-45.683
Te Angiangi Marine Reserve,New Zealand,fully-protected,3.88,80.4763,176.8468,-40.1579
Te Tapuwae o Rongokako Marine Reserve,New Zealand,fully-protected,24.43,0.0,178.2149,-38.6077
Horoirangi Marine Reserve,New Zealand,fully-protected,9.08,0.0,173.3775,-41.1628
Tonga Island Marine Reserve,New Zealand,fully-protected,17.68,0.6785,173.0652,-40.879
Long Island - Kokomohua Marine Reserve,New Zealand,fully-protected,5.99,33.68,174.2897,-41.1152
Akaroa Marine Reserve,New Zealand,fully-protected,4.77,22.3165,172.9615,-43.885
Hikurangi Marine Reserve,New Zealand,fully-protected,103.97,9.2983,173.6802,-42.5354
Hautai Marine Reserve,New Zealand,fully-protected,8.12,33.0843,168.1211,-44.2224
Kahurangi Marine Reserve,New Zealand,fully-protected,84.96,1.9567,172.0704,-40.9859
Punakaiki Marine Reserve,New Zealand,fully-protected,35.08,0.7077,171.3072,-42.1318
Waiau Glacier Coast Marine Reserve,New Zealand,fully-protected,44.73,1.9155,170.0639,-43.2563
Farewell Spit Nature Reserve,New Zealand,fully-protected,96.54,0.0,172.8983,-40.5529
Pinamgo Marine Sanctuary,Philippines,fully-protected,1.0,0.0,124.3787,10.1914
Poblacion (Bien Unido Municipality) Marine Sanctuary,Philippines,fully-protected,0.7,0.0,124.0046,10.4045
Daan-Lungsod and Guiwang Marine Sanctuary & Poblacion Marine Protected Area,Philippines,fully-protected,113.52,0.0,124.0046,10.4045
Great and Little Sta. Cruz Islands Protected Landscape and Seascape,Philippines,fully-protected,31.01,0.0,123.8648,9.9003
Bangaan Island Marine Sanctuary,Philippines,fully-protected,6.22,0.0,122.434,7.4799
Balasinon Fish Sanctuary,Philippines,fully-protected,0.28,0.0,125.3934,6.62
Tubbataha Reefs Natural Park,Philippines,fully-protected,975.4,0.0,119.8956,8.8967
Talisay Marine Reserve Area/Marine Fishery Reserve & Vinzon's Fish Sanctuary and Marine Reserve,Philippines,fully-protected,40.47,0.0,123.8344,9.907
Aldabra Atoll Expansion Area,Seychelles,fully-protected,2166.22,0.0,46.3699,-9.4112
Maziwe Island Marine Reserve,United Republic of Tanzania,fully-protected,16.9,0.0,39.0765,-5.5016
De Hoop Marine Protected Area,South Africa,fully-protected,286.49,7.2389,20.6481,-34.5381
Tsitsikamma Marine Protected Area,South Africa,highly-protected,290.46,3.7113,23.8849,-34.0445
Tsitsikamma Marine Protected Area,South Africa,fully-protected,289.57,3.7226,23.8849,-34.0445
Richardson Rock State Marine Reserve,United States of America,fully-protected,105.82,0.0,-120.5374,34.1051
Harris Point State Marine Reserve & Harris Point (San Miguel Island) Federal Marine Reserve,United States of America,fully-protected,126.24,2.8748,-120.359,34.092
South Point State Marine Reserve,United States of America,fully-protected,33.53,0.5631,-120.1437,33.8492
Gull Island State Marine Reserve,United States of America,fully-protected,51.37,4.959,-119.8503,33.893
Scorpion State Marine Reserve,United States of America,fully-protected,24.63,0.648,-119.5692,34.1289
Santa Barbara Island State Marine Reserve,United States of America,fully-protected,33.04,2.4428,-119.0021,33.4444
Anacapa Island State Marine Reserve,United States of America,fully-protected,29.66,1.1078,-119.4271,34.0741
Asilomar State Marine Reserve,United States of America,fully-protected,3.87,0.0,-121.9506,36.6284
Carmel Pinnacles State Marine Reserve,United States of America,fully-protected,1.37,0.0,-121.9675,36.5563
Point Lobos State Marine Reserve,United States of America,fully-protected,12.98,6.3966,-121.9483,36.5048
Point Sur State Marine Reserve,United States of America,fully-protected,24.72,0.0,-121.8789,36.2782
Point Sur State Marine Conservation Area,United States of America,highly-protected,27.56,3.1553,-121.8789,36.2782
Big Creek State Marine Reserve,United States of America,fully-protected,36.79,0.9259,-121.6469,36.0821
Piedras Blancas State Marine Reserve,United States of America,fully-protected,26.32,1.3106,-121.3044,35.6833
Piedras Blancas State Marine Conservation Area,United States of America,highly-protected,22.94,2.7668,-121.3044,35.6833
Point Buchon State Marine Reserve,United States of America,fully-protected,16.77,7.0013,-120.8852,35.2188
Point Buchon State Marine Conservation Area,United States of America,highly-protected,31.65,1.1859,-120.8852,35.2188
Vandenberg State Marine Reserve,United States of America,fully-protected,83.71,3.2954,-120.6463,34.6492
Footprint State Marine Reserve,United States of America,fully-protected,18.31,2.5868,-119.4888,33.9445
Point Arena State Marine Reserve,United States of America,fully-protected,11.11,6.0621,-123.7542,38.9617
Point Arena State Marine Conservation Area,United States of America,highly-protected,17.47,2.3524,-123.7542,38.9617
Stewarts Point State Marine Reserve,United States of America,fully-protected,61.68,1.6048,-123.4299,38.6342
Russian River State Marine Conservation Area,United States of America,highly-protected,2.07,0.0,-123.1152,38.4432
Bodega Head State Marine Reserve & Bodega Marine Life Refuge,United States of America,fully-protected,23.76,26.6944,-123.1021,38.3175
Point Reyes State Marine Reserve,United States of America,fully-protected,24.04,207.9564,-122.9767,38.0078
Point Reyes State Marine Conservation Area,United States of America,highly-protected,31.82,198.0498,-122.9767,38.0078
Southeast Farallon Island State Marine Reserve,United States of America,fully-protected,13.62,400.8526,-123.0058,37.6984
Southeast Farallon Island State Marine Conservation Area,United States of America,highly-protected,33.6,17.0834,-123.0058,37.6984
Montara State Marine Reserve,United States of America,fully-protected,30.43,16.869,-122.5468,37.5225
North Farallon Islands State Marine Reserve,United States of America,fully-protected,46.88,6.629,-123.1045,37.769
Point Conception State Marine Reserve,United States of America,fully-protected,58.11,15.795,-120.4577,34.4224
Campus Point State Marine Conservation Area,United States of America,fully-protected,27.3,9.9517,-119.8736,34.3868
Point Dume State Marine Reserve,United States of America,fully-protected,19.39,1.634,-118.8033,33.9838
Point Vicente State Marine Conservation Area,United States of America,fully-protected,38.85,3.6035,-118.4235,33.7163
Laguna Beach State Marine Reserve,United States of America,fully-protected,17.12,0.331,-117.806,33.5338
Laguna Beach State Marine Conservation Area,United States of America,fully-protected,7.94,0.0,-117.806,33.5338
Matlahuayl State Marine Reserve,United States of America,fully-protected,2.62,0.0,-117.2628,32.8573
South La Jolla State Marine Reserve,United States of America,fully-protected,12.89,10.9206,-117.2981,32.8127
South La Jolla State Marine Conservation Area,United States of America,highly-protected,6.39,1.3209,-117.2981,32.8127
Cabrillo State Marine Reserve,United States of America,fully-protected,0.98,0.1592,-117.2483,32.6692
Southwest Seal Rock Special Closure,United States of America,fully-protected,0.06,0.0,-124.3518,41.8136
Reading Rock State Marine Reserve,United States of America,fully-protected,24.89,7.6996,-124.1888,41.3142
South Cape Mendocino State Marine Reserve,United States of America,fully-protected,23.45,8.6454,-124.4616,40.425
Mattole Canyon State Marine Reserve,United States of America,fully-protected,25.4,0.9325,-124.4031,40.3083
Sea Lion Gulch State Marine Reserve,United States of America,fully-protected,26.84,5.8913,-124.3721,40.2267
Ten Mile State Marine Reserve,United States of America,fully-protected,30.65,4.2141,-123.815,39.5767
Ten Mile Beach State Marine Conservation Area,United States of America,highly-protected,9.18,0.5255,-123.815,39.5767
Point Cabrillo State Marine Reserve,United States of America,fully-protected,1.09,0.0,-117.2483,32.6692
Buck Island Reef National Monument,United States Virgin Islands,fully-protected,76.46,0.0,-64.6212,17.8088
Virgin Islands National Park & Virgin Islands Coral Reef National Monument,United States Virgin Islands,highly-protected,73.4,0.0,-64.709,18.3132
Managaha Marine Conservation Area,Northern Mariana Islands,fully-protected,5.0,0.0,145.7129,15.2409
Hind Bank Marine Conservation District,United States Virgin Islands,fully-protected,44.63,0.0,-65.0417,18.1992
Richardson Rock (San Miguel Island) Federal Marine Reserve,United States of America,fully-protected,82.94,0.3069,-120.5374,34.1051
South Point (Santa Rosa Island) Federal Marine Reserve,United States of America,fully-protected,4.9,1.3639,-120.1437,33.8492
Gull Island (Santa Cruz Island) Federal Marine Reserve,United States of America,fully-protected,37.64,0.027,-119.8503,33.893
Scorpion (Santa Cruz Island) Federal Marine Reserve,United States of America,fully-protected,22.85,0.6499,-119.5681,34.0755
Santa Barbara Island Federal Marine Reserve,United States of America,fully-protected,114.24,0.1634,-119.0021,33.4444
Anacapa Island Federal Marine Reserve,United States of America,fully-protected,9.83,2.4706,-119.4271,34.0741
Footprint (Anacapa Channel) Federal Marine Reserve,United States of America,fully-protected,55.42,0.4299,-119.4888,33.9445
Dry Tortugas National Park,United States of America,highly-protected,119.12,0.0,-82.9754,24.5332
Dry Tortugas Research Natural Area & Tortugas North Ecological Reserve,United States of America,fully-protected,120.15,0.0,-82.9754,24.5332
Redfish Rocks Marine Reserve,United States of America,fully-protected,6.81,83.1509,-124.4721,42.701
Otter Rock Marine Reserve,United States of America,fully-protected,2.92,0.0,-124.0671,44.7374
Cascade Head Marine Reserve,United States of America,fully-protected,24.99,17.2801,-124.0418,45.0104
Cape Perpetua Marine Reserve,United States of America,fully-protected,36.36,23.841,-124.1472,44.2542
Cape Falcon Marine Reserve,United States of America,fully-protected,31.77,17.366,-123.9982,45.7667
Isla de Desecheo Marine Reserve,Puerto Rico,fully-protected,7.24,0.0,-67.4807,18.3838
Isla de Mona Natural Reserve,Puerto Rico,highly-protected,1519.88,0.0123,-67.9008,18.1165
Lord Howe Island Marine Park,Australia,fully-protected,129.65,0.0,159.1912,-31.6676
Macquarie Island Nature Reserve,Australia,fully-protected,811.37,0.0,158.8309,-54.7387
Macquarie Island Australian Marine Park,Australia,fully-protected,57003.83,0.0,158.8309,-54.7387
Pulu Keeling National Park,Australia,highly-protected,23.85,0.0,96.822,-11.8319
Ricketts Point Marine Sanctuary,Australia,fully-protected,1.08,0.0,145.0259,-37.99
Tinderbox Marine Nature Reserve,Australia,fully-protected,1.14,314.6753,147.3303,-43.0454
Booderee National Park (Commonwealth),Australia,fully-protected,0.11,0.0,150.7414,-35.125
Cook Island Aquatic Reserve,Australia,fully-protected,0.28,0.0,153.5769,-28.1954
Governor Island Marine Nature Reserve,Australia,fully-protected,0.54,0.0,148.3141,-41.8725
Great Blue Hole Natural Monument,Belize,fully-protected,4.17,0.0,-87.5317,17.3172
South Point,Belize,fully-protected,5.32,0.0,-120.1437,33.8492
Baie de L’Isle-Verte National Wildlife Area,Canada,fully-protected,1.11,0.0,165.4611,-21.6582
Ten Mile Point Ecological Reserve,Canada,highly-protected,0.13,0.0,-123.815,39.5767
Nazca-Desventuradas,Chile,fully-protected,307994.66,0.0013,-79.9737,-26.1437
Motu Motiro Hiva,Chile,fully-protected,150707.94,0.0001,-104.5784,-27.1277
Torre Guaceto,Italy,fully-protected,3.0,0.0,17.7847,40.7238
Orange Bay Fishery Conservation Area,Jamaica,highly-protected,5.05,0.0,-78.324,18.3731
Montego Bay Marine Park & Bogue Islands Lagoon Special Fishery Conservation Area,Jamaica,highly-protected,13.52,0.0,-77.9413,18.4501
Discovery Bay Special Fishery Conservation Area,Jamaica,highly-protected,1.53,0.0,141.3505,-38.3563
Dick Sessingers Bay - Beach Point Marine Park,Cayman Islands,highly-protected,1.91,0.0,-79.8616,19.6856
Jennifer Bay - Deep Well Marine Park,Cayman Islands,highly-protected,0.57,0.0,-79.7875,19.7117
George Town Marine Park,Cayman Islands,highly-protected,2.42,0.0,-81.3907,19.2891
Preston Bay Marine Park,Cayman Islands,highly-protected,1.02,0.0,-80.0884,19.6554
Seven Mile Beach Marine Park,Cayman Islands,highly-protected,5.34,0.0,-81.3913,19.337
Bloody Bay Marine Park,Cayman Islands,highly-protected,2.04,0.0,-80.0772,19.6888
S. Eedhigali Kilhi Koattey Area,Maldives,fully-protected,6.6,0.0,73.0826,-0.5842
Balaclava Marine Park,Mauritius,highly-protected,0.84,16.377,57.5079,-20.0808
Pouarape,New Caledonia,highly-protected,1.41,0.0,-159.73,-21.2307
Duck Island,New Caledonia,highly-protected,0.95,0.0,-53.69,48.7417
Niue Moana Mahu Marine Protected Area,Niue,highly-protected,127341.44,0.0453,-168.7058,-20.3389
Auckland Islands - Motu Maha Marine Reserve,New Zealand,fully-protected,4998.57,4.9433,166.1533,-50.7064
Kermadec Islands Marine Reserve,New Zealand,fully-protected,7575.5,0.1513,-178.362,-30.2894
Piopiotahi (Milford Sound) Marine Reserve,New Zealand,fully-protected,6.79,0.0,167.8906,-44.6351
Te Awaatu Channel (The Gut) Marine Reserve,New Zealand,fully-protected,0.81,0.0,166.9465,-45.2961
Moutere Mahue/Antipodes Island Marine Reserve,New Zealand,fully-protected,2161.43,0.0,178.7823,-49.6783
Moutere Hauriri/Bounty Islands Marine Reserve,New Zealand,fully-protected,1041.16,0.0,179.0409,-47.7569
Moutere Ihupuku/Campbell Island Marine Reserve,New Zealand,fully-protected,1122.92,3.5101,169.0189,-52.5329
Tauparikākā Marine Reserve,New Zealand,fully-protected,0.11,0.0,169.1454,-43.757
Pitcairn Islands Marine Reserve,Pitcairn Islands,fully-protected,845929.58,0.0042,-127.3179,-24.4726
Catarman Marine sanctuary,Philippines,fully-protected,0.15,0.0,124.0084,10.3941
Bingag Marine Sanctuary,Philippines,fully-protected,0.14,0.0,123.7944,9.6288
Bil-isan Fish Sanctuary,Philippines,fully-protected,0.07,0.0,123.7578,9.6058
Pantudlan Fish Sanctuary,Philippines,fully-protected,0.13,0.0,123.7581,9.8792
Madangog Fish Sanctuary,Philippines,fully-protected,0.1,0.0,123.8064,9.9074
Magtongtong Fish Sanctuary,Philippines,fully-protected,0.17,0.0,123.8155,9.9133
Talisay Fish Sanctuary,Philippines,fully-protected,0.13,0.0,123.8344,9.907
Liboron Seagrass Sanctuary,Philippines,fully-protected,0.23,0.0,123.8501,9.8896
Sta. Cruz Seagrass Sanctuary,Philippines,fully-protected,0.68,0.0,123.8648,9.9003
Mantatao Marine Sanctuary,Philippines,fully-protected,0.32,0.0,123.8505,9.9385
San Isidro Marine Sanctuary,Philippines,fully-protected,0.73,0.0,123.8808,9.9334
Asinan Reef Fish Sanctuary,Philippines,fully-protected,0.61,0.0,124.1001,10.104
Batasan Marine Sanctuary,Philippines,fully-protected,0.2,0.0,123.9792,10.0108
Macaas Marine Sanctuary,Philippines,fully-protected,0.12,0.0,124.0002,9.9719
Nahawan Seagrass Sanctuary,Philippines,fully-protected,0.17,0.0,124.0335,9.9816
Jagoliao Seagrass Marine Sanctuary & Jagoliao Fish Refuge and Sanctuary,Philippines,fully-protected,0.17,0.0,124.1595,10.2117
Jandayan Norte Fish Refuge and Sanctuary,Philippines,fully-protected,0.25,0.0,124.1664,10.1761
Handumon Marine Sanctuary,Philippines,fully-protected,0.35,0.0,124.1798,10.1765
Jandayan Sur Fish Refuge and Sanctuary,Philippines,fully-protected,0.18,0.0,124.1529,10.16
Bilang-Bilangan East Marine Sanctuary,Philippines,fully-protected,0.45,0.0,124.4673,10.2363
Bilang-Bilangan West Marine Sanctuary,Philippines,fully-protected,0.72,0.0,124.4406,10.249
Badiang Fish Sanctuary,Philippines,fully-protected,0.34,0.0,124.5942,9.8011
Bilang-Bilangan Sanctuary,Philippines,fully-protected,0.16,0.0,123.8872,9.9917
Balibadon Fish Sanctuary,Philippines,fully-protected,0.18,0.0,126.1772,9.1465
San Isidro Marine Fish Sanctuary,Philippines,fully-protected,0.34,0.0,123.8808,9.9334
Poblacion Fish Sanctuary,Philippines,fully-protected,0.52,0.0,124.0046,10.4045
Poblacion (Sugbongcogon Municipality) Marine Sanctuary,Philippines,fully-protected,0.02,0.0,124.0046,10.4045
Brgy. Poblacion Fish Sanctuary,Philippines,fully-protected,0.08,0.0,124.0046,10.4045
Poblacion-Tugar Fish Sanctuary,Philippines,fully-protected,0.1,0.0,124.0046,10.4045
Baobaon Fish and Marine Sanctuary,Philippines,fully-protected,0.3,0.0,123.7363,8.6132
Poblacion (Sinakaban Municipality) Marine Protected Area,Philippines,fully-protected,0.02,0.0,124.0046,10.4045
Nalayag Point Fishery Refuge and Sanctuary,Philippines,fully-protected,0.15,0.0,121.0435,13.5567
Balingasay Marine Sanctuary,Philippines,fully-protected,0.13,0.0,119.8468,16.3693
San Isidro Labrador Fish Sanctuary,Philippines,fully-protected,0.49,0.0,123.8808,9.9334
Manyukos Island Marine Sanctuary,Philippines,fully-protected,2.26,0.0,118.8048,10.0848
Batonan Sur Fish Sanctuary,Philippines,fully-protected,0.25,0.0,122.0581,11.3624
Tulapos Fish Sanctuary,Philippines,fully-protected,0.15,0.0,123.642,9.287
Colase Marine Sanctuary,Philippines,fully-protected,0.13,0.0,123.2951,9.475
Legaspi Marine Sanctuary,Philippines,fully-protected,0.09,0.0,123.3355,9.7112
Matutinao Marine Sanctuary & Bato Seagrass and Fish Sanctuary,Philippines,fully-protected,0.2,0.0,123.365,9.8472
Basdiot Fish Sanctuary,Philippines,fully-protected,0.04,0.0,123.3712,9.9373
Saavedra Fish Sanctuary,Philippines,fully-protected,0.09,0.0,123.379,9.9998
Bitoon Marine Sanctuary,Philippines,fully-protected,0.33,0.0,123.4466,10.0854
Poblacion Marine Sanctuary,Philippines,fully-protected,0.23,0.0,124.0046,10.4045
Apalan Marine Reserve & Fish Sanctuary,Philippines,fully-protected,0.54,0.0,123.8229,10.7539
Bagasawe Marine Reserve & Fish Sanctuary,Philippines,fully-protected,0.46,0.0,123.8276,10.7638
Kinawahan Fish Sanctuary,Philippines,fully-protected,0.24,0.0,123.9082,10.9519
Busogon Fish Sanctuary,Philippines,fully-protected,0.32,0.0,123.9098,10.9654
Anapog Fish Sanctuary,Philippines,fully-protected,0.18,0.0,123.9025,11.0216
Bancasan Fish and Marine Sanctuary,Philippines,fully-protected,0.1,0.0,123.906,11.0428
Luyong-Baybay Marine Sanctuary,Philippines,fully-protected,0.16,0.0,123.6426,11.0669
Hilantagaan Daku Fish Sanctuary (Dakong Baybay Fish Sanctuary),Philippines,fully-protected,0.23,0.0,123.8182,11.1891
Sulangan Marine Sanctuary & Pasitagan Sulangon Marine Sanctuary,Philippines,fully-protected,0.18,0.0,123.7068,11.1104
"Poblacion Fishery Reserve, Refuge and Sanctuary",Philippines,fully-protected,0.16,0.0,124.0046,10.4045
Poblacion (Madridejos Municipality) Fish Sanctuary,Philippines,fully-protected,0.06,0.0,124.0046,10.4045
Alang-alang Marine Sanctuary,Philippines,fully-protected,0.07,0.0,124.0339,10.9248
Maslog Marine Sanctuary,Philippines,fully-protected,0.07,0.0,124.0336,10.9313
